label,x1,x2
Blue,-1.58854166667,-1.0119047619
Blue,-3.71527777778,3.5119047619
Red,-6.18923611111,-2.32142857143
Red,-7.31770833333,-5.41666666667
Red,-6.62326388889,-9.16666666667
Red,-1.93576388889,-6.72619047619
Red,-0.416666666667,-5.29761904762
Red,-4.40972222222,-4.82142857143
Red,2.14409722222,2.61904761905
Red,5.78993055556,-0.595238095238
Red,7.61284722222,-4.70238095238
Red,5.00868055556,-7.32142857143
Red,5.61631944444,2.97619047619
Red,6.00694444444,4.46428571429
Red,5.74652777778,6.36904761905
Red,3.61979166667,6.60714285714
Blue,-6.62326388889,5.11904761905
Blue,-6.14583333333,3.15476190476
Blue,-5.75520833333,1.07142857143
Blue,-5.45138888889,-0.297619047619
Blue,-3.19444444444,0.178571428571
Blue,-2.63020833333,2.97619047619
Blue,-2.80381944444,5.41666666667
Blue,-6.84027777778,7.14285714286
Blue,-8.92361111111,4.40476190476
Blue,-8.75,2.44047619048
Blue,-8.75,0.654761904762
Blue,0.711805555556,1.19047619048
Blue,-0.763888888889,7.08333333333
Red,-1.11111111111,-3.69047619048
Red,2.01388888889,-1.78571428571
Red,4.40104166667,1.07142857143
Red,4.57465277778,4.52380952381
Red,5.87673611111,7.79761904762
Red,8.26388888889,5.89285714286
Red,8.30729166667,1.90476190476
Red,7.48263888889,-3.21428571429
Red,4.01041666667,-6.19047619048
Red,2.70833333333,-8.03571428571
Red,2.70833333333,-8.15476190476
